,Unnamed: 0.1,Unnamed: 0,subject,name,uid,description,description_NER
1639,1639,2385,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/VibrationTransmissibility,VibrationTransmissibility,VibrationTransmissibility,The vibration transmissibility percentage.,
1640,1640,2386,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/MaximumSupportedWeight,MaximumSupportedWeight,MaximumSupportedWeight,The maximum weight that can be carried by the vibration isolator.,"weight, vibration isolator"
1641,1641,2387,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/IsolatorStaticDeflection,IsolatorStaticDeflection,IsolatorStaticDeflection,Static deflection of the vibration isolator.,vibration isolator
1642,1642,2388,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/IsolatorCompressibility,IsolatorCompressibility,IsolatorCompressibility,The compressibility of the vibration isolator.,vibration isolator
1643,1643,2389,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/Structure,Structure,Structure,"State if marking is Structured or not, and what type... e.g. Kamflex, Longflex, Dropflex",
1644,1644,2390,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/MaterialType,MaterialType,MaterialType,"Material type used... e.g. paint, tape, thermoplastic, stone",
1645,1645,2391,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/MaterialThickness,MaterialThickness,MaterialThickness,Nominal thickness of the applied material,
1646,1646,2392,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/MaterialColour,MaterialColour,MaterialColour,Actual colour on the road marking material,colour
1647,1647,2393,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/DiagramNumber,DiagramNumber,DiagramNumber,"A designator with content according to local standards, e.g. M25.","content, local standards"
1648,1648,2394,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/ApplicationMethod,ApplicationMethod,ApplicationMethod,"State the application method used... e.g. spray, extruded",
1649,1649,2395,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/PortCapacity,PortCapacity,PortCapacity,Indicates the number of ports in the passive device that can be used to interconnect cables.,"number, ports, cables"
1650,1650,2396,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/AssetPriority,AssetPriority,AssetPriority,Combined criticality and frailty rating indicating the operational and maintenance priority of the asset,asset
1651,1651,2397,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/AssessmentDescription,AssessmentDescription,AssessmentDescription,Qualitative description of the condition.,"description, condition"
1652,1652,2398,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/PutIntoOperationDate,PutIntoOperationDate,PutIntoOperationDate,Date on which the element is put into operation.,element
1653,1653,2399,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/AssetStatus,AssetStatus,AssetStatus,Current status or stage in life cycle.,
1654,1654,2400,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/ConditionTargetPerformance,ConditionTargetPerformance,ConditionTargetPerformance,Target condition of the asset,asset
1655,1655,2401,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/PerformanceMaintenanceLevel,PerformanceMaintenanceLevel,PerformanceMaintenanceLevel,Performance level at which maintenance takes place,"Performance level, maintenance"
1656,1656,2402,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/AccidentResponse,AccidentResponse,AccidentResponse,Accident response chosen for the asset,asset
1657,1657,2403,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/AssetCriticality,AssetCriticality,AssetCriticality,Rating of the asset's criticality to the operation of the facility,"operation, facility"
1658,1658,2404,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/DurationTargetPerformance,DurationTargetPerformance,DurationTargetPerformance,Target time to failure of the asset,"failure, asset"
1659,1659,2405,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/AssessmentCondition,AssessmentCondition,AssessmentCondition,"The overall condition of a product based on an assessment of the contributions to the overall condition made by the various criteria considered. The meanings given to the values of assessed condition should be agreed and documented by local agreements. For instance, is overall condition measured on a scale of 1 - 10 or by assigning names such as Good, OK, Poor.","overall condition, product, overall condition, values, overall condition"
1660,1660,2406,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/AcceptanceDate,AcceptanceDate,AcceptanceDate,Date on which the element is accepted by the manager or administrator.,"Date, element"
1661,1661,2407,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/AssetAccountingType,AssetAccountingType,AssetAccountingType,Identifies the predefined types of risk from which the type required may be set.,risk
1662,1662,2408,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/Identification,Identification,Identification,"An identifying designation given to a control
    It is the identifier at the occurrence level.","identifying designation, identifier, occurrence level"
1663,1663,2409,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/AssetTaxType,AssetTaxType,AssetTaxType,Identifies the predefined types of taxation group from which the type required may be set.,"types, type"
1664,1664,2410,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/MonitoringType,MonitoringType,MonitoringType,Monitoring strategy chosen for the asset,asset
1665,1665,2411,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/LastAssessmentReport,LastAssessmentReport,LastAssessmentReport,Reference to latest condition (state of health) report.,condition
1666,1666,2412,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/ReplacementLevel,ReplacementLevel,ReplacementLevel,Performance level at which replacement takes place,"Performance level, replacement"
1667,1667,2413,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/AssessmentFrequency,AssessmentFrequency,AssessmentFrequency,"Indicates how often the equipment should be assessed, to have a clear estimation on its working state, based on which the maintenance staff can decide whether it requires maintenance or requires to be updated or replaced.","equipment, maintenance"
1668,1668,2414,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/MeanTimeToRepair,MeanTimeToRepair,MeanTimeToRepair,Mean time to repair.,repair
1669,1669,2415,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/RepairContent,RepairContent,RepairContent,"Content of repair, reason and nature can be given, e.g. display faults, communication failure, display exchange.",repair
1670,1670,2416,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/AssetFrailty,AssetFrailty,AssetFrailty,Rating of the asset's frailty to breakage or deterioration,deterioration
1671,1671,2417,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/DurationDisposalLevel,DurationDisposalLevel,DurationDisposalLevel,Duration interval at which disposal is performed,"Duration interval, disposal"
1672,1672,2418,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/DisposalLevel,DisposalLevel,DisposalLevel,Performance level at which disposal takes place,"Performance level, disposal"
1673,1673,2419,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/NextAssessmentDate,NextAssessmentDate,NextAssessmentDate,Date of next condition inspection,Date
1674,1674,2420,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/AssessmentDate,AssessmentDate,AssessmentDate,Date on which the overall condition is assessed,"Date, overall condition"
1675,1675,2421,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/AssetInsuranceType,AssetInsuranceType,AssetInsuranceType,Identifies the predefined types of insurance rating from which the type required may be set.,"types, type"
1676,1676,2422,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/ConditionReplacementLevel,ConditionReplacementLevel,ConditionReplacementLevel,Condition that will trigger a replacement process,"Condition, replacement"
1677,1677,2423,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/DurationReplacementLevel,DurationReplacementLevel,DurationReplacementLevel,Duration interval at which replacement is performed,"Duration interval, replacement"
1678,1678,2424,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/IncorporationDate,IncorporationDate,IncorporationDate,"The date on which an asset was incorporated into the works, installed, constructed, erected or completed.NOTE  This is the date on which an asset is considered to start depreciating.{ .history}IFC4 CHANGE  Type changed from IfcDateTimeSelect.","date, asset, NOTE, date, asset"
1679,1679,2425,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/AssetUse,AssetUse,AssetUse,General use category of the asset,asset
1680,1680,2426,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/TargetPerformance,TargetPerformance,TargetPerformance,Target capacity or performance of the asset. Units of the performance value are specified through the propertyValue units attribute.,asset
1681,1681,2427,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/AssessmentType,AssessmentType,AssessmentType,Category of latest condition assessment report of the asset.,asset
1682,1682,2428,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/RepairDate,RepairDate,RepairDate,Date on which the last repair is done on the asset.,asset
1683,1683,2429,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/ConditionDisposalLevel,ConditionDisposalLevel,ConditionDisposalLevel,Condition that will trigger a disposal process,"Condition, disposal"
1684,1684,2430,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/DurationMaintenanceLevel,DurationMaintenanceLevel,DurationMaintenanceLevel,Duration interval at which maintenance is performed,"Duration interval, maintenance"
1685,1685,2431,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/RequiredClosureSpacing,RequiredClosureSpacing,RequiredClosureSpacing,Required length of the closure spacing.,length
1686,1686,2432,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/StandardWork,StandardWork,StandardWork,"Work that is performed at regular times, up to a particular limit after which overtime rates may apply.",
1687,1687,2433,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/OvertimeWork,OvertimeWork,OvertimeWork,"Work that is performed after exceeding a particular limit such as hours per day and/or hours per week, after which company or municipal policy requires a different rate to apply.  Note: Policies for when overtime takes effect are the responsibility of the user or application; they are not modelled in IFC.","user, application"
1688,1688,2434,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/RailElementaryLength,RailElementaryLength,RailElementaryLength,The standardised length of rail supplied from the manufacturer.,"length, rail, manufacturer"
1689,1689,2435,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/RailDeliveryState,RailDeliveryState,RailDeliveryState,"The delivery state of rail, which indicates the final treatment at the end in manufacturing.",
1690,1690,2436,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/RailCondition,RailCondition,RailCondition,Assessment of the condition of the rail at point of installation.,"condition, rail, point"
1691,1691,2437,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/PositionInTrack,PositionInTrack,PositionInTrack,"Indicates the relative position of the element in track, which lies to the left or right as facing in the direction of increasing stationing values.","element, track, direction, increasing, stationing values"
1692,1692,2438,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/MinimumTensileStrength,MinimumTensileStrength,MinimumTensileStrength,Indicates the minimum tensile strength.,
1693,1693,2439,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/IsStainless,IsStainless,IsStainless,Indicates whether the rail is stainless or not.,rail
1694,1694,2440,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/DrillOnRail,DrillOnRail,DrillOnRail,"Indicates if the manufactured rail is drilled at its extremities or not. It can have holes on one, both or none of its extremities.","rail, extremities, holes, extremities"
1695,1695,2441,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/KeypadType,KeypadType,KeypadType,A list of the available types of keypad switch from which that required may be selected.,"list, types"
1696,1696,2442,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/NumberOfCrossedTracks,NumberOfCrossedTracks,NumberOfCrossedTracks,Number of tracks crossed in cable route.,Number
1697,1697,2443,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/OuterSurfaceArea,OuterSurfaceArea,OuterSurfaceArea,"Total area of the surfaces of the object (not taking into account the end cap areas), normally generated as perimeter * length in case of extrusions.","object, case"
1698,1698,2444,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/CrossSectionArea,CrossSectionArea,CrossSectionArea,The effective cross-section area of the reinforcing bar.,"effective cross - section area, reinforcing bar"
1699,1699,2445,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/RailPadStiffness,RailPadStiffness,RailPadStiffness,Indicates the stiffness of a rail pad.,stiffness
1700,1700,2446,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/IdealShaftPower,IdealShaftPower,IdealShaftPower,Compressor shaft power under ideal conditions.,
1701,1701,2447,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/PowerSource,PowerSource,PowerSource,Type of power driving the compressor.,"Type, compressor"
1702,1702,2448,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/ImpellerDiameter,ImpellerDiameter,ImpellerDiameter,Diameter of object - used to scale performance of geometrically similar objects.,"performance, objects"
1703,1703,2449,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/MinimumPartLoadRatio,MinimumPartLoadRatio,MinimumPartLoadRatio,Minimum part load ratio as a fraction of nominal capacity.,"Mini, fraction"
1704,1704,2450,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/RefrigerantClass,RefrigerantClass,RefrigerantClass,"Refrigerant class used by the object.
CFC: Chlorofluorocarbons.
HCFC: Hydrochlorofluorocarbons.
HFC: Hydrofluorocarbons.",object
1705,1705,2451,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/CompressorSpeed,CompressorSpeed,CompressorSpeed,Compressor speed.,
1706,1706,2452,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/MaximumPartLoadRatio,MaximumPartLoadRatio,MaximumPartLoadRatio,Maximum part load ratio as a fraction of nominal capacity.,fraction
1707,1707,2453,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/NominalCapacity,NominalCapacity,NominalCapacity,The total nominal or volumetric capacity of the object.,"nominal, object"
1708,1708,2454,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/IdealCapacity,IdealCapacity,IdealCapacity,Compressor capacity under ideal conditions.,
1709,1709,2455,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/HasHotGasBypass,HasHotGasBypass,HasHotGasBypass,"Whether or not hot gas bypass is provided for the compressor. TRUE = Yes, FALSE = No.",compressor
1710,1710,2456,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/NumberOfEmergencyTransceivers,NumberOfEmergencyTransceivers,NumberOfEmergencyTransceivers,Indicates the number of emergency transceivers in the base band unit.,number
1711,1711,2457,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/NumberOfCarriers,NumberOfCarriers,NumberOfCarriers,Indicates how many carrier frequencies can be managed by the device.,device
1712,1712,2458,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/NumberOfAntennas,NumberOfAntennas,NumberOfAntennas,Indicates the number of antennas integrated in the device.,"number, device"
1713,1713,2459,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/ExchangeCapacity,ExchangeCapacity,ExchangeCapacity,Indicates how many simultaneous calls the base transceiver station can handle.,
1714,1714,2460,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/DetectionRange,DetectionRange,DetectionRange,The detection range of the equipment.,equipment
1715,1715,2461,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/WallThickness,WallThickness,WallThickness,"The thickness of the wall construction.
NOTE: It is assumed that walls will be constructed at a single thickness.","thickness, NOTE, thickness"
1716,1716,2462,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/ChamberWidth,ChamberWidth,ChamberWidth,"Width, in the event of the shape being non circular in plan.","Width, event, shape, circular, plan"
1717,1717,2463,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/ChamberLengthOrRadius,ChamberLengthOrRadius,ChamberLengthOrRadius,"Length or, in the event of the shape being circular in plan, the radius of the chamber.","event, shape, circular, plan, radius, chamber"
1718,1718,2464,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/BaseThickness,BaseThickness,BaseThickness,"The thickness of the base construction, assumed to be constructed at a single thickness.",thickness
1719,1719,2465,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/IsolatingPurpose,IsolatingPurpose,IsolatingPurpose,"Defines the purpose for which the isolating valve is used since the way in which the valve is identified as an isolating valve may be in the context of its use. Note that unless there is a contextual name for the isolating valve (as in the case of a Landing Valve on a rising fire main), then the value assigned shoulkd be UNSET.","purpose, isolating valve, valve, isolating valve, context, isolating valve, case, value"
1720,1720,2466,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/IsNormallyOpen,IsNormallyOpen,IsNormallyOpen,"If TRUE, the valve is normally open. If FALSE is is normally closed.","If TRUE, valve, open, closed"
1721,1721,2467,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/MaximumNumberOfRRUs,MaximumNumberOfRRUs,MaximumNumberOfRRUs,Indicates the maximum number of remote radio units (RRU) which can be connected to the baseband unit.,number
1722,1722,2468,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/UserInterfaceType,UserInterfaceType,UserInterfaceType,Indicates the user interface of the computer.,
1723,1723,2469,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/StorageCapacity,StorageCapacity,StorageCapacity,Indicates the total data storage capacity of the device. It is defined by bytes.,device
1724,1724,2470,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/TrackSupportingStructure,TrackSupportingStructure,TrackSupportingStructure,Indicates the supporting structure for track part.,
1725,1725,2471,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/IsSunExposed,IsSunExposed,IsSunExposed,Indicates if the object is in exposed position to sunshine.,object
1726,1726,2472,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/HasCWR,HasCWR,HasCWR,Indicates if the track has continuous welded rails.,track
1727,1727,2473,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/HasBallastTrack,HasBallastTrack,HasBallastTrack,Indicates whether the track has ballast or not.,"track, ballast"
1728,1728,2474,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/WeatherDowntime,WeatherDowntime,WeatherDowntime,Weather downtime proportion,
1729,1729,2475,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/VehicleAvailability,VehicleAvailability,VehicleAvailability,Vehicle or Plant availability,
1730,1730,2476,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/MaintenanceDowntime,MaintenanceDowntime,MaintenanceDowntime,Maintenance downtime proportion.,
1731,1731,2477,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/SteadyDeviceType,SteadyDeviceType,SteadyDeviceType,Type of Steady Device: To indicate the mode of registration.,
1732,1732,2478,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/IsSetOnWorkingWire,IsSetOnWorkingWire,IsSetOnWorkingWire,Indicates whether the steady device is set on the working wire.,
1733,1733,2479,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/ContactWireStagger,ContactWireStagger,ContactWireStagger,Lateral displacement of the contact wire to opposite sides of the track centre at successive supports.,"contact wire, supports"
1734,1734,2480,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/ContactWireHeight,ContactWireHeight,ContactWireHeight,"Distance from the top of the rail to the lower face of the contact wire, measured perpendicular to the track.","rail, face, contact wire, track"
1735,1735,2481,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/SystemHeight,SystemHeight,SystemHeight,Vertical distance between the main catenary wire and the contact wire measured at a support point.,"Vertical distance, contact wire"
1736,1736,2482,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/CantileverType,CantileverType,CantileverType,Type of cantilever assembly.,Type
1737,1737,2483,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/ThermalTrippingUnitType,ThermalTrippingUnitType,ThermalTrippingUnitType,A list of the available types of thermal tripping unit  from which that required may be selected.,"list, types"
1738,1738,2484,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/TemperatureFactor,TemperatureFactor,TemperatureFactor,The correction factor (typically measured as %/deg K) for adjusting the thermal current/time to an ambient temperature different from the value given by the defined temperature.,"ambient temperature, value, temperature"
1739,1739,2485,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/T2,T2,T2,The (thermal) testing time in [s] associated with the testing currents I1 and I2.,
1740,1740,2486,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/I2,I2,I2,"The (thermal) upper testing current limit in [x In], indicating that for currents larger than I2, the tripping time shall be shorter than the associated tripping time, T2.","x In, currents, tripping time, tripping time"
1741,1741,2487,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/I1,I1,I1,"The (thermal) lower testing current limit in [x In], indicating that for currents lower than I1, the tripping time shall be longer than the associated tripping time, T2.","x In, currents, tripping time, tripping time"
1742,1742,2488,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/DefinedTemperature,DefinedTemperature,DefinedTemperature,The ambient temperature at which the thermal current/time-curve associated with this protection device is defined.,ambient temperature
1743,1743,2489,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/CurveDesignation,CurveDesignation,CurveDesignation,The designation of the trippingcurve given by the manufacturer. For a MCB the designation should be in accordance with the designations given in IEC 60898.,"designation, manufacturer, designation"
1744,1744,2490,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/NominalBodyLength,NominalBodyLength,NominalBodyLength,Nominal or quoted length measured along the x-axis of the local coordinate system of the object.,"Nominal, quoted length, x - axis, local coordinate system, object"
1745,1745,2491,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/InletConnectionSize,InletConnectionSize,InletConnectionSize,"Size of the inlet connection.
Note that all inlet connections are assumed to be the same size.","Size, inlet connection, inlet connections, size"
1746,1746,2492,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/VentilatingPipeSize,VentilatingPipeSize,VentilatingPipeSize,Size of the ventilating pipe(s).,Size
1747,1747,2493,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/CoverLength,CoverLength,CoverLength,The length measured along the x-axis in the local coordinate system or the radius (in the case of a circular shape in plan) of the cover of the object.,"length, x - axis, local coordinate system, radius, case, plan, cover, object"
1748,1748,2494,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/NominalBodyDepth,NominalBodyDepth,NominalBodyDepth,Nominal or quoted length measured along the z-axis of the local coordinate system of the object.,"Nominal, quoted length, z - axis, local coordinate system, object"
1749,1749,2495,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/NominalBodyWidth,NominalBodyWidth,NominalBodyWidth,"Nominal or quoted length, measured along the y-axis of the local coordinate system of the object.","Nominal, quoted length, y - axis, local coordinate system, object"
1750,1750,2496,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/CoverWidth,CoverWidth,CoverWidth,The length measured along the y-axis in the local coordinate system of the cover of the object.,"length, y - axis, local coordinate system, cover, object"
1751,1751,2497,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/OutletConnectionSize,OutletConnectionSize,OutletConnectionSize,Size of the outlet connection from the object.,"Size, outlet connection, object"
1752,1752,2498,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/SubstanceDetected,SubstanceDetected,SubstanceDetected,"Identification of the substance that is being detected according to chemical formula.  For example, calcium carbonate is 'CaCO3'",Ident
1753,1753,2499,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/BatterAtStart,BatterAtStart,BatterAtStart,"The angle, in radians, by which the formwork at the starting face of a piece is to be rotated from the vertical in order to compensate for the rotation of the face that will occur once the piece is stripped from its form, inducing camber due to eccentric prestressing.","angle, radians, vertical, rotation, face, piece, form"
1754,1754,2500,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/ReleaseStrength,ReleaseStrength,ReleaseStrength,The minimum required compressive strength of the concrete when the tendon stress is released. This property applies to prestressed concrete elements only.,"concrete, property, prestressed concrete elements"
1755,1755,2501,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/CornerChamfer,CornerChamfer,CornerChamfer,The chamfer in the corners of the precast element. The chamfer is presumed to be equal in both directions.,directions
1756,1756,2502,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/SupportDuringTransportDescription,SupportDuringTransportDescription,SupportDuringTransportDescription,Textual description of how the concrete element is supported during transportation.,transportation
1757,1757,2503,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/ReinforcementStrengthClass,ReinforcementStrengthClass,ReinforcementStrengthClass,Classification of the reinforcement strength in accordance with the concrete design code which is applied in the project. The reinforcing strength class often combines strength and ductility.,"Classification, concrete design code, project"
1758,1758,2504,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/ActualProductionDate,ActualProductionDate,ActualProductionDate,Production date (stripped from form).,form
1759,1759,2505,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/Headroom,Headroom,Headroom,"Actual headroom clearance for the passageway according to the current design.
The shape information is provided in addition to the shape representation and the geometric parameters used within. In cases of inconsistency between the geometric parameters and the shape properties, provided in the attached property, the geometric parameters take precedence.","passageway, design, shape information, shape representation, geometric parameters, In cases, geometric parameters, shape properties, attached property, geometric parameters"
1760,1760,2506,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/InitialTension,InitialTension,InitialTension,The initial stress of the tendon. This property applies to prestressed concrete elements only.,"tendon, property, prestressed concrete elements"
1761,1761,2507,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/ConcreteCover,ConcreteCover,ConcreteCover,The protective concrete cover at the reinforcing bars according to local building regulations.,"protective concrete cover, local building regulations"
1762,1762,2508,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/AsBuiltLocationNumber,AsBuiltLocationNumber,AsBuiltLocationNumber,"Defines a unique location within a structure, the ‘slot’ into which the piece was installed. Where pieces share the same piece mark, they can be interchanged. The value is only known after erection.","location, structure, piece, value"
1763,1763,2509,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/BatterAtEnd,BatterAtEnd,BatterAtEnd,"The angle, in radians, by which the formwork at the ending face of a piece is to be rotated from the vertical in order to compensate for the rotation of the face that will occur once the piece is stripped from its form, inducing camber due to eccentric prestressing.","angle, radians, vertical, rotation, face, piece, form"
1764,1764,2510,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/PieceMark,PieceMark,PieceMark,"Defines a unique piece for production purposes. All pieces with the same piece mark value are identical and interchangeable. The piece mark may be composed of sub-parts that have specific locally defined meaning (e.g. B-1A may denote a beam, of generic type ‘1’ and specific shape ‘A’).","piece, purposes, meaning, shape"
1765,1765,2511,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/CamberAtMidspan,CamberAtMidspan,CamberAtMidspan,"The camber deflection, measured from the midpoint of a cambered face of a piece to the midpoint of the chord joining the ends of the same face, as shown in the figure below, divided by the original (nominal) straight length of the face of the piece.","ends, face, face, piece"
