,subject,name,uid,description
564,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop427,NumberOfPumps,Prop427,This property identifies the number of pumps in multi pump management
565,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop421,DistributionType,Prop421,This property describes the share of operation time of different pumps of the pump system in addition operation mode.
566,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop428,PumpCollectiveIDs,Prop428,This element identifies the pumps within the pump system
567,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop422,ExchangeMode,Prop422,This property specifies the exchange mode of the pump
568,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop466,WaterVaporCapacity,Prop466,Mass of water which can be conveyed by the pump without condensation per time.
569,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop465,NetPositiveInletPressureRequired,Prop465,Total inlet pressure required to ensure there is enough margin to maintain the minimum.
570,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop464,MinimumAllowableInletPressure,Prop464,Lowest value of inlet pressure at which the pump or component is capable of functioning on the basis of the materials used.
571,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop463,MaximumWorkingPressure,Prop463,instantaneous inlet pressure with adequate margin above the minimum liquid vapor pressure expected.
572,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop462,MaximumTolerableWaterVaporInletPressure,Prop462,"The highest water vapor inlet pressure at which a gas ballast pump, under normal ambient conditions, can pump and exhaust pure water vapor in continuous Operation."
573,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop461,MaximumAllowableInletPressure,Prop461,Highest value of inlet pressure at which the pump or component is capable of functioning on the basis of the materials used.
574,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop460,InletAreaOfThePump,Prop460,Free cross-sectional area of the entry opening in the inlet connection of the pump.
575,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop459,CriticalBackingPressure,Prop459,Maximum backing pressure for which the conditions are defined in the instruction manual or in a specific standard for the particular vacuum pump.
576,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop458,NominalPressure,Prop458,"Alphanumeric parameter for reference purposes, referring to a combination of mechanical and dimensional properties of a component of a piping system. It comprises the letters PN followed by a dimensionless number."
578,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop507,PowerFactor,Prop507,Determined power factor of the motor.
579,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop508,Torque,Prop508,Measured torque of the motor.
580,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop497,Current,Prop497,Measured consumed mains current of the whole unit of the motor.
581,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop509,Voltage,Prop509,Measured actual mains voltage of the motor.
582,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop502,Frequency,Prop502,Measured output frequency of the frequency converter.
583,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop498,DCLinkCurrent,Prop498,Measured actual electrical dc current of the converter.
584,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop503,MotorCurrent,Prop503,Measured actual motor current.
585,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop505,MotorTemperature,Prop505,Measured temperature of the motor.
586,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop499,DCLinkVoltage,Prop499,Measured actual electrical dc voltage of the converter.
587,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop504,MotorEfficiency,Prop504,"Determined proportion of the motor power input P_mot delivered as pump power input P_mot, u"
588,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop500,DriverPowerInput,Prop500,Measured power absorbed by the motor.
589,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop501,EnergyConsumption,Prop501,Measured energy consumption of the unit of the motor.
590,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop487,BackingPressure,Prop487,Pressure at the outlet of a vacuum pump. 
591,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop202,SupplyVoltage,Prop202,This property indicates a failure of supply voltage.
592,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop201,SupplyFrequencyLow,Prop201,This property indicates too low supply frequency.
593,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop193,PhaseFailure,Prop193,This property indicates a phase failure.
594,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop203,SupplyVoltageHigh,Prop203,This property indicates too high supply voltage.
595,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop195,ShortToEarth,Prop195,This property indicates a short to earth.
596,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop194,ShortCircuit,Prop194,This property indicates a short circuit.
597,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop204,SupplyVoltageLow,Prop204,This property indicates too low supply voltage.
598,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop205,VoltageInsideDevice,Prop205,This property indicates unacceptable voltage inside the device.
599,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop196,SupplyCurrent,Prop196,This property indicates a failure of supply current.
600,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop198,SupplyCurrentLow,Prop198,This property indicates too low supply current.
601,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop197,SupplyCurrentHigh,Prop197,This property indicates too high supply current.
602,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop199,SupplyFrequency,Prop199,This property indicates unacceptable supply frequency.
603,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop189,ElectricalFault,Prop189,This property indicates a generic electrical fault.
604,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop187,ArmatureCircuit,Prop187,This property indicates a failure in armature circuit.
605,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop206,WindingTemperature,Prop206,This property indicates an unacceptable winding temperature.
606,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop191,InstallationFault,Prop191,"This property indicates an unacceptable electrical installation, e.g. mixed up phases."
607,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop190,FieldCircuit,Prop190,This property indicates a failure in field circuit.
608,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop188,CurrentInsideDevice,Prop188,This property indicates unacceptable current inside the device.
609,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop192,InsulationResistance,Prop192,This property indicates an unacceptable low winding resistance.
610,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop200,SupplyFrequencyHigh,Prop200,This property indicates too high supply frequency.
611,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop531,TypeOfProduct,Prop531,"Characterization of the device based on its usage, operation principle, and its fabricated form."
612,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop523,Location,Prop523,"To be used by end users to store the location of the machine in a scheme specific to the end user Servers shall support at least 60 Unicode characters for the clients writing this value, this means clients can expect to be able to write strings with a length of 60 Unicode characters into that field."
613,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop529,SoftwareRevision,Prop529,Version of the software used by the device
614,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop521,HardwareRevision,Prop521,Version of the hardware supplied by the device
615,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop527,ProductCode,Prop527,Unique combination of numbers and letters used to identify the device
616,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop530,Supplier,Prop530,Name of the supplier or vendor of a device.
617,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop519,FabricationNumber,Prop519,"Alphanumeric character sequence assigned to a fabricated product, which allows the date, time and circumstances of fabrication to be traced."
618,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop525,NationalStockNumber,Prop525,"13-digit numeric code, identifying all 'standardized material items of supply' as recognized by the United States Department of Defense."
619,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop528,SerialNumber,Prop528,Unique combination of numbers and letters used to identify the device once it has been manufactured
620,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop514,ArticleNumber,Prop514,"Alphanumeric character sequence identifying a manufactured, non-configurable product."
621,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop517,CountryOfOrigin,Prop517,Country in which the product is manufactured.
622,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop520,GTINCode,Prop520,Bar code number that identifies the device based on the Global Trade Item Number system.
623,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop532,OrderProductCode,Prop532,Unique combination of numbers and letters used to order the device.
624,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop526,PhysicalAddressOfManufacturer,Prop526,Physical address of the manufacturer.
625,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop522,InitialOperationDate,Prop522,"The date, when the MachineryItem was switched on the first time after it has left the manufacturer plant."
626,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop515,AssetId,Prop515,"To be used by end users to store a unique identification in the context of their overall application. Servers shall support at least 40 Unicode characters for the clients writing this value, this means clients can expect to be able to write strings with a length of 40 Unicode characters into that field."
627,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop518,DateOfManufacture,Prop518,Date when an item was manufactured
628,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop524,Manufacturer,Prop524,Name of the manufacturer of a device 
629,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop516,ComponentName,Prop516,"To be used by end users to store a human-readable localized text for the MachineryItem. The minimum number of locales supported for this property shall be two. Servers shall support at least 40 Unicode characters for the clients writing the text part of each locale, this means clients can expect to be able to write texts with a length of 40 Unicode characters into that field."
630,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop511,MeanVelocityAtInlet,Prop511,Measured rate of flow at pump inlet connection divided by the inlet area of the pump.
631,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop510,InletTemperatureOfThePump,Prop510,Measured temperature acting at the inlet area of the pump.
632,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop101,SoftwareReset,Prop101,This attribute indicates a software reset.
633,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop100,SoftwareFault,Prop100,This attribute indicates a failure of device software.
634,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop99,Parameter,Prop99,This attribute indicates a parameter problem.
635,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop98,OS,Prop98,This attribute indicates a failure of operation system software.
636,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop97,Memory,Prop97,This attribute indicates a memory resource problem.
637,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop96,Control,Prop96,This attribute indicates a failure in control software.
638,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop95,Communication,Prop95,This attribute indicates a failure in communication software.
639,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop94,Application,Prop94,This attribute indicates a failure in application software.
640,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop367,OperatingMode,Prop367,Characterization of the way and the extent to which the human operator intervenes in the control equipment
641,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop358,ControlDifferenceVariable,Prop358,Difference between the reference variable and the feedback variable
642,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop361,DeadTime,Prop361,In a dead-time element the duration of the time interval by which the output variable is shifted relative to the input variable
643,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop364,FinalControlledVariable,Prop364,"Variable quantity which has, or combination of variable quantities which have, to be influenced by the control"
644,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop369,ReferenceVariable,Prop369,"Input variable to a comparing element in a controlling system, which sets the desired value of the controlled variable and is deducted from the command variable"
645,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop360,ControllerOutputVariable,Prop360,"Output variable of the controlling element, which is deducted from the control difference variable and is also the input variable of the actuator"
646,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop363,FeedbackVariable,Prop363,"Variable quantity, which represents the controlled variable and is returned to the comparing element"
647,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop368,ProportionalActionCoefficient,Prop368,"For a proportional element, the quotient of the variation of the output variable to the corresponding variation of the input variable"
648,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop366,ManipulatedVariable,Prop366,"Output variable of the controlling system, which is also an input variable of the controlled system"
649,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop365,IntegralActionCoefficient,Prop365,"For an integral element, the quotient of the time derivative of the output variable to the fixed value of the input variable"
650,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop357,CommandVariable,Prop357,"Variable quantity, which is not influenced by the control but is introduced into the control system from outside with the aim of making the final controlled variable follow it in a given relationship"
651,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop359,ControlledVariable,Prop359,Output variable of the controlled system that will be acted upon by one or more manipulated variables
652,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop362,DerivativeActionCoefficient,Prop362,"For a derivative element, the quotient of the value of the output variable to the value of the time derivative of the input variable"
653,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop71,BrakeOverheat,Prop71,This attribute indicates an overheating of a brake.
654,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop68,AxialBearingOverheat,Prop68,This attribute indicates an overheating of the axial bearing.
655,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop80,RotorStationRubbing,Prop80,This attribute indicates the rubbing of stator and rotor.
656,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop77,RadialBearingFault,Prop77,This attribute indicates a failure of the radial bearing.
657,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop73,GapWear,Prop73,This attribute indicates a mechanical wear at gap.
658,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop66,AxialBearingAbrasion,Prop66,This attribute indicates an unacceptable abrasion of the axial bearing.
659,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop75,Misalignment,Prop75,This attribute indicates a misalignment.
660,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop69,BearingFault,Prop69,This attribute indicates a generic bearing failure.
661,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop78,RadialBearingOverheat,Prop78,This attribute indicates an overheating of the radial bearing.
662,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop74,MechanicalFault,Prop74,This attribute indicates a generic mechanical fault.
663,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop81,Unbalance,Prop81,This attribute indicates an unbalance.
664,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop67,AxialBearingFault,Prop67,This attribute indicates a failure of the axial bearing.
665,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop76,RadialBearingAbrasion,Prop76,This attribute indicates an unacceptable abrasion of the radial bearing.
666,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop70,BrakeChopper,Prop70,This attribute indicates a problem of the brake chopper.
667,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop79,RotorBlocked,Prop79,This attribute indicates a blocked rotor.
668,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop72,ExcessVibration,Prop72,This attribute indicates unacceptable high mechanical vibration.
669,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop419,VolumetricEfficiency,Prop419,Determined ratio of the actual delivered volume at maximum pressure to the geometric displacement volume
670,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop375,BearingTemperature,Prop375,Measured temperature of the bearing
671,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop372,AxialLoadOfPumpRotor,Prop372,Measured residual thrust acting through the shaft derived from hydraulic or mechanical forces
672,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop409,SoundEnergy,Prop409,"Determined integral of the sound power, P, over a stated time interval of duration T (starting at t1 and ending at t2)"
673,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop413,SoundPressure,Prop413,Measured difference between instantaneous pressure and static pressure
674,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop373,AxialRotorPosition,Prop373,Measured position of the axial rotor in bearing.
675,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop410,SoundEnergyLevel,Prop410,"Determined ten times the logarithm to the base 10 of the ratio of the sound energy, J, to a reference value, J0, expressed in decibels"
676,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop380,DynamicViscosity,Prop380,Measured kinematic viscosity of the fluid
677,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop370,AmbientHumidity,Prop370,Measured ambient humidity
678,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop405,PumpPowerOutput,Prop405,Measured useful mechanical power transferred to the fluid during its passage through the pump
679,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop394,MechanicalEfficiency,Prop394,"Determined proportion of the pump power input, P, available after satisfying the mechanical power losses, PJ, ab, at given operating conditions"
680,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop374,BackPressure,Prop374,Measured back pressure of the pump
681,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop411,SoundPower,Prop411,"Determined through a surface, product of the sound pressure, p, and the component of the particle velocity, un, at a point on the surface in the direction normal to the surface, integrated over that surface"
682,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop392,MassFlow,Prop392,Measure mass flow from the outlet area of the pump
683,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop393,MeanVelocityAtThroat,Prop393,Measured rate of flow passing through the exit from the volute divided by the throat area
684,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop382,FluidTemperature,Prop382,Measured internal temperature of pump fluid.
685,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop417,TotalHeadAtInletAreaOfTheInstallation,Prop417,"Determined total head at the inlet area of the installation, which corresponds to the sum of geodetic head, pressure head and velocity head"
686,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop390,LubricatingOilConsumption,Prop390,Measured oil consumption of the lubricating system
687,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop385,InletPressureOfTheInstallation,Prop385,Measured pressure at the inlet area of the installation.
688,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop406,PumpTemperature,Prop406,Measured temperature of the pump
689,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop376,ClearanceFlow,Prop376,Measured clearance flow between the housing and the impeller
690,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop388,LeakageRateOfFlow,Prop388,Measured rate of flow leaking from shaft seals
691,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop398,OutletPressureOfTheInstallation,Prop398,Measured pressure at the outlet area of the installation.
692,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop377,CoolantTemperature,Prop377,Measured temperature of the coolant.
693,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop400,PowerLossDueToInternalLeakage,Prop400,Determined power loss due clearance flows
694,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop386,InstallationTotalHead,Prop386,Determined difference between the total head at the outlet side of the installation and the total head at the inlet side of the installation
695,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop412,SoundPowerLevel,Prop412,"Determined ten times the logarithm to the base 10 of the ratio of the sound power of a source, P, to a reference value, P0, expressed in decibels"
696,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop399,OverallEfficiency,Prop399,"Determined proportion of the driver power input, Pmot, delivered as pump power output, Pu"
697,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop418,TotalHeadAtOutletAreaOfTheInstallation,Prop418,"Determined total head at the outlet area of the installation, which corresponds to the sum of geodetic head, pressure head and velocity head"
698,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop381,ElectronicTemperature,Prop381,Measured temperature of the electronic
699,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop402,PumpEfficiency,Prop402,"Determined proportion of the pump power input, P, delivered as pump power output, Pu, at given operating conditions"
700,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop414,SoundPressureLevel,Prop414,"Determined ten times logarithm to the base 10 of the ratio of the square of the sound pressure, p, to the square of a reference value, p0, expressed in decibels"
701,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop408,RadialLoadOfPumpRotor,Prop408,Measured residual force acting at right angles to the line of the shaft and derived from hydraulic forces
702,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop379,DifferentialPressure,Prop379,Determined (actual) gain in total pressure between the pump inlet and pump outlet
703,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop395,NetPositiveInletPressure,Prop395,Total pressure (including velocity pressure) at the pump inlet connection less the liquid vapor pressure at the present temperature of the liquid
704,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop415,Speed,Prop415,"Measured number of rotations or movements made by the shaft, coupling or impeller in a given time"
705,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop383,HousingTemperature,Prop383,Measured temperature of the housing
706,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop407,PumpTotalHead,Prop407,Determined difference between the total head at the outlet side of the pump and the total head at the inlet side of the pump
707,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop401,ProcessPressure,Prop401,Measured process pressure of the pump
708,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop387,KinematicViscosity,Prop387,Measured dynamic viscosity of the fluid
709,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop404,PumpPowerInput,Prop404,Measured power transmitted to the pump by its driver
710,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop378,Density,Prop378,Measured density of the fluid
712,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop389,Level,Prop389,Measured level 
